Date,Set,Rep,Dur,Chg,Rest,Exercise,Comment
2022-09-27,10,15,1 min,15kg,5 min,Squat-Jerk
2022-09-26,10,15,1 min,15kg,5 min,Squat-Jerk
2022-09-25,10,15,1 min,15kg,5 min,Squat-Jerk
2022-09-23,,,2 h,50km,,Bike
2022-09-20,,,2 h,50km,,Bike
2022-09-19,10,10,1 min,15kg,5 min,Squat-Jerk
2022-09-18,10,10,1 min,15kg,5 min,Squat-Jerk
2022-09-17,10,10,1 min,15kg,5 min,Squat-Jerk
2022-09-16,10,10,1 min,15kg,5 min,Squat-Jerk
2022-09-15,10,10,1 min,15kg,5 min,Squat-Jerk
2022-09-14,10,10,1 min,14kg,5 min,Squat-Jerk
2022-09-13,10,10,1 min,14kg,5 min,Squat-Jerk
2022-09-11,,,2 h,50km,,Bike
2022-09-11,,,2 h,50km,,Bike
2022-09-07,10,10,1 min,14kg,5 min,Squat-Jerk
2022-09-06,10,10,1 min,13kg,5 min,Squat-Jerk
2022-09-05,10,10,1 min,13kg,5 min,Squat-Jerk
2022-09-04,10,13,1 min,13kg,5 min,Squat-Jerk
2022-09-03,10,13,1 min,13kg,5 min,Squat-Jerk
2022-08-31,10,13,1 min,13kg,3 min,Squat-Jerk
